Proveedor,Nombre del curso (MAYUSC),Nombre del curso (MINUSC),Descripción del curso,Número de horas de la formación,Tipo de certificado,Temática,Grupo,Sector de oportunidad ocupacional,Palabras Clave,Nombre del curso
SENA,,Fundamentos de html,"Estos campos requeridos de formación, están siendo demandados por el sector productivo y generan oportunidades potenciales de desempeño para las personas, lo cual es uno de los factores tenidos en cuenta por la red de conocimiento en informática, diseño y desarrollo de software, para la generación de diseños curriculares relacionados con las tecnologías del sector TIC, como apoyo al desarrollo del mismo en el país.
Se ofrece el programa de formación complementaria con todos los elementos de formación profesional, sociales, tecnológicos y culturales, aportando como elementos diferenciadores de valor agregado metodologías de aprendizaje innovadoras, el acceso a tecnologías de última generación y una estructuración sobre métodos más que contenidos, lo que potencia la formación de ciudadanos librepensadores, con capacidad crítica, solidaria y emprendedora, factores que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con las tendencias y cambios tecnológicos y las necesidades del sector empresarial y de los trabajadores, impactando positivamente la productividad, la competitividad, la equidad y el desarrollo
",50.0,Certificado de aprobación,Fórmate Digital,TI,Software y TI,DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS,FUNDAMENTOS HTML DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS
SENA,,Fundamentos de redes de datos,"Se ofrece este programa con todos los elementos de formación profesional, sociales, tecnológicos y culturales, aportando como elementos diferenciadores de valor agregado metodologías de aprendizaje innovadoras, el acceso a tecnologías de última generación y una estructuración sobre métodos más que contenidos, lo que potencia la formación de ciudadanos librepensadores, con capacidad crítica, solidaria y emprendedora, factores que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con las tendencias y cambios tecnológicos y las necesidades del sector empresarial y de los trabajadores, impactando positivamente la productividad, la competitividad, la equidad y el desarrollo del país.
Por esta razón, se  ha tomado la responsabilidad de diseñar este Programa que permita ofrecer al sector productico demandar personal con las destrezas técnicas especializadas necesarias para llevar a cabo la instalación de redes de datos",60.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs.","INGENIERO DE SISTEMAS, EXPERTO EN REDES, BASES DE DATOS","FUNDAMENTOS REDES DATOS INGENIERO SISTEMAS, EXPERTO REDES, BASES DATOS"
SENA,FUNDAMENTOS DEL SISTEMA DE GESTIÓN DE SEGURIDAD Y SALUD EN EL TRABAJO,Fundamentos del sistema de gestión de seguridad y salud en el trabajo,"Actualmente las organizaciones de diferentes sectores productivos se encuentran interesadas en el desarrollo de actividades tendientes a garantizar la seguridad y la salud de los trabajadores. La mejora frente a este aspecto ha sido reconocida entre los empleadores como una estrategia que garantiza la disminución de costos operacionales y el aumento en la competitividad.
La seguridad y Salud en el trabajo se convierte en una herramienta de gestión que permite al trabajador el mejoramiento de su calidad de vida, por medio de la construcción de condiciones y contextos laborales saludables y seguros que apuntan al desarrollo de la integralidad del bienestar de una persona. Por tal motivo se crea este curso a fin de contextualizar de forma básica, en los fundamentos del Sistema de Gestión de Seguridad y salud en el trabajo.                          ",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","GESTIÓN HUMANA, RECURSOS HUMANOS, ADMINISTRACIÓN","FUNDAMENTOS DEL SISTEMA GESTIÓN SEGURIDAD SALUD GESTIÓN HUMANA, RECURSOS HUMANOS, ADMINISTRACIÓN"
SENA,GENERAR LOS COMPONENTES DE LA PRODUCCIÓN AUDIOVISUAL CON LA SUITE ADOBE FLASH,Generar los componentes de la producción audiovisual con la suite adobe. ,"Este curso esta enfocado en producir elementos audiovisuales a partir de la Suite Adobe Flash; Flash es un estudio de animación que trabaja sobre ""fotogramas"" y está destinado a la producción y entrega de contenido interactivo para diferentes audiencias de todo el mundo sin importar la plataforma. Se usa sobre animaciones publicitarias, reproducción de vídeos (como YouTube) y otros medios interactivos que se presentan en la mayoría de sitios web del mundo, lo que le ha dado fama a este programa, dándoles el nombre de ""animaciones Flash"" a los contenidos creados con éste. Por ello el aprendiz adquirira los conocimientos y habilidades necesarias para realizar contenido publicitario y similares por medio de este programa. ",40.0,Certificado de aprobación,Fórmate Digital,TI,Industria (manufacturas),DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS,GENERAR COMPONENTES PRODUCCIÓN AUDIOVISUAL CON SUITE ADOBE. DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS
SENA,GESTIÓN DEL DESARROLLO DEL TALENTO HUMANO,Gestión del desarrollo del talento humano,"La gestión del desarrollo del talento humano se refiere al enfoque del recurso humano en una institución en donde sus habilidades y destrezas sean ótimamente utilizadas. Es el conjunto de iniciativas adoptadas en una institución con el objetivo de promover el crecimiento profesional de los trabajadores. Con este curso el que el aprendiz desarrollará habilidades para planear el desarrollo del talento humano, conforme a requerimientos y modelos de gestión.",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","GESTIÓN HUMANA, RECURSOS HUMANOS, ADMINISTRACIÓN","GESTIÓN DEL DESARROLLO DEL TALENTO HUMANO GESTIÓN HUMANA, RECURSOS HUMANOS, ADMINISTRACIÓN"
SENA,,Guianza en recorridos por la naturaleza.,"Con el fin de fortalecer los programas que ofrece el SENA, en el sector turístico hemos visto como alternativa de apoyo, la formación complementaria en senderismo, para garantizar la calidad de la guianza en los recorridos, además calificando el talento humano y las habilidades que poseen las personas de la región para mostrar las culturas y riquezas de nuestra tierra.",50.0,Certificado de aprobación,Fórmate,Otros,Hidrocarburos y energía - renovables,"DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS","GUIANZA RECORRIDOS POR NATURALEZA. DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS"
SENA,HABILIDADES PARA ENFRENTAR RETOS EN EL NUEVO ENTORNO LABORAL,Habilidades para enfrentar retos en el nuevo entorno laboral,"Este curso está enfocado en capacitar a la ciudadanía en general en las herramientas que les permitirán prepararse no solo en lo técnico sino también en la consolidación de sus capacidades para ser competitivos y vigentes en el mundo laboral actual, a través de herramientas y técnicas para desarrollar estas habilidades en su máximo potencial. Principalmente se enfoca en ver como se apoyan en sus fortalezas para asumir los retos que el entorno laboral demanda cada día.",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","HABILIDADES ENFRENTAR RETOS NUEVO ENTORNO LABORAL HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,HIGIENE Y MANIPULACIÓN DE ALIMENTOS,Higiene y manipulación de alimentos,"El programa se crea para brindar al personal relacionado con las cadenas de producción, transporte, preparación y servicio de alimentos, la posibilidad de adquirir y actualizar conocimientos básicos en el tema de Buenas Prácticas de Manufactura de Alimentos; buscando profundizar los conocimientos relacionados con los riesgos que afectan la calidad e inocuidad alimentaria.
El talento humano manipulador de alimentos capacitado aportará a la aplicación de las buenas prácticas de manufactura en el desarrollo de los procesos en el sector empresarial, lo que da como resultado la entrega al consumidor de productos.
",10.0,Certificado de aprobación,Fórmate,Otros,Turismo hoteles y gastronomía,"SALUD, PREVENCIÓN, MEDICOS, ENFERMERAS","HIGIENE MANIPULACIÓN ALIMENTOS SALUD, PREVENCIÓN, MEDICOS, ENFERMERAS"
SENA,,Ilustración de personajes para medios digitales,"Actualmente las industrias creativas han requerido de la colaboración de diseñadores y artistas gráficos en el desarrollo de los proyectos y su demanda va en crecimiento, la versatilidad de las nuevas tecnologías ha permitido que profesionales de estas áreas desarrollen actividades laborales a través de teletrabajo, lo que permite participar en proyectos que se desarrollan en otras ciudades e inclusive otros países, siendo este un buen factor de proyección laboral internacional a profesionales residentes en Colombia. 
Se  propende por que el programa complementario contribuya a desarrollar las políticas de promoción del desarrollo tecnológico e innovación, empleando recursos para la articulación con el Sistema Nacional de Innovación, que contribuyen al fortalecimiento de los centros de desarrollo tecnológico y productivo regional y nacional apoyando la competitividad empresarial del país con alta formación técnica con estándares internacionales, correspondientes al sector Industria, teniendo como área de desempeño las empresas del sector Gráfico a nivel nacional e internacional, sin excluir las industrias culturales y creativas.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, ","DISEÑO GRÁFICO, CREACIÓN DE CONTENIDO, AUDIOVISUAL","ILUSTRACIÓN PERSONAJES MEDIOS DIGITALES DISEÑO GRÁFICO, CREACIÓN CONTENIDO, AUDIOVISUAL"
SENA,IMPLEMENTACIÓN DE SISTEMA DE CONTROL CON INTERNET DE LAS COSAS,Implementación de sistema de control con internet de las cosas,"Esta formación, enseña el uso de herramientas de hardware y de software libre de muy bajo costo, utilizando la metodología de formación por proyectos, estimula la creatividad de los jóvenes del SENA para que desarrollen proyectos aplicados a diferentes sectores como el Industrial, agro, electromedicina, educación etc. con componentes tecnológicos innovadores de alto valor que los hacen muy competitivos.
En el desarrollo del programa, el participante creará un proyecto de DOMOTICA controlado desde un PC, creara interfases graficas y utilizara herramientas de hardware libre de muy bajo costo como Arduino, Rasp Berry tarjeta de sistema embebido K8055 e interfases de Potencia. Hoy en día la tecnología 4.0 esta impulsando la industria al desarrollar tecnologías que controlen y monitoreen procesos industriales, utilizando software y tecnologías enlazadas a internet, limitando barreras de distancia, bajando costos y dando respuesta inmediata a situaciones de fallo, mantenimiento y paradas emergencia en forma instantánea, reduciendo las perdidas por paradas en la produccion.",48.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, Industria (manufacturas), Logística y Transporte.
","INDUSTRIAS, IOT, INTERNET DE LAS COSAS, ","IMPLEMENTACIÓN SISTEMA CONTROL CON INTERNET COSAS INDUSTRIAS, IOT, INTERNET COSAS, "
SENA,IMPLEMENTACIÓN DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO,Implementación del sistema de gestión de seguridad y salud en el trabajo,"Colombia establece el Sistema de Gestión de la Seguridad y Salud en el trabajo, el cual busca fomentar la promoción de la salud y la seguridad minimizando los riesgos con el fin de evitar los accidentes y enfermedades laborales. Este sistema consiste en el desarrollo de un proceso lógico y por etapas, basado en la mejora continua el cual incluye política, organización, planificación, aplicación, evaluación, auditoria y las acciones de mejora con el objetivo de anticipar, reconocer, evaluar y controlar los riesgos que puedan afectar la seguridad y salud en el trabajo. Este sistema debe ser aplicado por todos los empleados públicos y privados, los contratantes de personal bajo modalidad de contrato civil, comercial o administrativo, las organizaciones de economía solidaria y del sector cooperativo, empresas de servicios temporales.
Los responsables de la ejecución de los SG-SST de cada una de las empresas, deberán realizar el curso de capacitación virtual de 50 horas sobre el SG-SST de conformidad con lo Establecido en el Decreto 1443 de 2014.
",50.0,Certificado de aprobación,Fórmate,Otros,"Salud, Turismo, hoteles y gastronomía, Hidrocarburos y energía - renovables","SALUD, PREVENCIÓN, MEDICOS, ENFERMERAS","IMPLEMENTACIÓN DEL SISTEMA GESTIÓN SEGURIDAD SALUD SALUD, PREVENCIÓN, MEDICOS, ENFERMERAS"
SENA,INDICADORES DE GESTIÓN.,Indicadores de gestión.,"Los indicadores son términos cuantitativos que nos dejan ver aspectos puntuales dentro de la empresa pueden ser medidas, números, hechos, opiniones o percepciones de alguna situación o condición de interés. En este curso los conocimientos estarán enfocados en el significado de medir, que situaciones se deben medir, conceptos de indicadores de gestión y como se construyen. La construcción de indicadores de gestión apoya las decisiones en las empresas, los principales temas que se abordan son: Conceptos de medición, Que medir en la empresa, Indicadores de gestión, como elaborarlos.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Industria (manufacturas), Servicios financieros, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","GESTIÓN, EMPRESA, LIDERAZGO, GERENCIA","INDICADORES GESTIÓN. GESTIÓN, EMPRESA, LIDERAZGO, GERENCIA"
SENA,INDUCCIÓN A LOS SISTEMAS DE GESTIÓN DE LA CALIDAD,Inducción a los sistemas de gestión de la calidad,"La importancia de la calidad para la competitividad y sostenibilidad de todo tipo de organizaciones es innegable; la función de calidad dentro de las organizaciones, su impacto en el mercado, el progresivo aumento del interés de la comunidad académica, los cambios que ha sufrido en sus principios, fundamentos y prácticas y el creciente número organizaciones que utilizan modelos para la gestión de su calidad son indicadores que demuestran avance.
En razón a que miles de organizaciones de nuestro país han implementado y certificado sus sistemas de gestión bajo la norma ISO 9001, todos los miembros de la organización tienen el deber de identificar, controlar y mejorar los grados de calidad bajo su responsabilidad. 
El presente programa de formación es una respuesta a estas necesidades, ya que permite la adquisición de los conocimientos y habilidades necesarias para apoyar a las organizaciones en el cumplimiento de los requisitos de la norma ISO 9001 con el propósito de documentar, implementar,  mantener y mejorar un sistema de gestión de calidad.
Adicionalmente, en aras de aumentar la productividad en las organizaciones pretende invertir en mejorar la calidad del personal que labora y así lograr competitividad a nivel internacional; lo que le da la oportunidad al Sena de impartir formación para contribuir con el logro de los objetivos empresariales.
",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, BPOs, Salud, Turismo, hoteles y gastronomía, Logística y Transporte.","AUDITORIA, CONTROL, CALIDAD","INDUCCIÓN A SISTEMAS GESTIÓN CALIDAD AUDITORIA, CONTROL, CALIDAD"
SENA,"INFORMÁTICA: MICROSOFT WORD, EXCEL E INTERNET","Informática: microsoft word, excel e internet","Con este curso se abordan dos herramientas básicas de escritorio para la edición de textos y manejo de una hoja electónica (Hoja de Cálculo).Está diseñado para ayudar en realizar tareas como: Escribir documentos, crear gráficos y efectuar seguimiento de información, realizar tablas con fórmulas y cálculos que facilitan manipulación de datos, sirviéndole como herramienta para sus labores en casa y oficina. Los temas a abordar son los siguientes: Word Básico, Word Intermedio, Excel Básico.",48.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HERRAMIENTAS OFIMÁTICAS, ADMINISTRACIÓN, SECRETARIA, ASISTENTES","INFORMÁTICA: MICROSOFT WORD, EXCEL E INTERNET HERRAMIENTAS OFIMÁTICAS, ADMINISTRACIÓN, SECRETARIA, ASISTENTES"
SENA,INGLES BÁSICO - NIVEL 1,Ingles básico - nivel 1,"Las exigencias del mundo contemporáneo, la globalización y las necesidades del sector productivo demandan el desarrollo de habilidades en el idioma Inglés que permitan la interacción en una lengua en común, fomentando las competencias comunicativas, el crecimiento personal, académico, cultural y social del ser como ciudadano, lo que incrementa la competitividad económica del país. Por otro lado, el dominio de este idioma contribuye a incentivar la investigación e innovación en la medida en que los textos académicos y científicos se encuentran en inglés y su publicación requiere del conocimiento de la lengua. En este sentido, el Programa de Bilingüismo del SENA, implementa la formación complementaria presencial en inglés y ofrece doce programas, los cuales responden a contenidos que inician en un nivel básico y finalizan en el nivel intermedio, de acuerdo con los estándares del Marco Común Europeo de Referencia (MCER).
El programa de Inglés Básico Nivel 1, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en esta lengua extranjera basadas en: la adquisición del vocabulario y expresiones en inglés de acuerdo con su información personal, la construcción de expresiones cortas en inglés según el contexto personal; y la comunicación de aspectos personales en inglés teniendo en cuenta su contexto social y familiar.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES BÁSICO - NIVEL 1 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES BÁSICO - NIVEL 2,Ingles básico - nivel 2,"El programa de Inglés Básicos Nivel 2, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en esta lengua extranjera basada en: la expresión de la ubicación y dirección de los sitios o de los lugares de una ciudad en inglés de acuerdo con la localización geográfica; la expresión de cantidades y precios en inglés teniendo en cuenta situaciones sociales y laborales específicas; y el intercambio de ideas sobre preferencias, situaciones cotidianas, hábitos y rutinas de acuerdo con su contexto personal, social y laboral.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES BÁSICO - NIVEL 2 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES BÁSICO - NIVEL 3,Ingles básico - nivel 3,"El programa de Inglés Básicos Nivel 3 , es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en esta lengua Extranjera basadas en: la descripción de situaciones y experiencias pasadas de acuerdo con su entorno personal, laboral y social; la comunicación de acciones pasadas en inglés siempre y cuando se utilicen las funciones relacionadas y formas del lenguaje; la expresión de información en inglés sobre eventos futuros según la intención comunicativa frente a predicciones y posibilidades de ocurrencia de sucesos; y el empleo de expresiones comparativas según situaciones comunicativas concretas.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES BÁSICO - NIVEL 3 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES BÁSICO - NIVEL 4,Ingles básico - nivel 4,"El programa de Inglés Básico Nivel 4 , es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en ésta lengua  Extranjera basadas en: el uso de verbos auxiliares en inglés aplicados a habilidades, peticiones, posibilidades , necesidades e invitaciones teniendo en cuenta escenarios sociales y laborales; la producción de sugerencias y probabilidades en inglés según el contexto personal y social; y la comunicación de hechos y posibilidades futuras en inglés de acuerdo con situaciones sociales, laborales y personales.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES BÁSICO - NIVEL 4 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES INTERMEDIO - NIVEL 1,Ingles intermedio - nivel 1,"Es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera basadas en: la argumentación de ideas con alto grado de independencia y fluidez; la síntesis de información procedente de diversas fuentes y medios de comunicación; la producción de discursos formales en inglés evidenciando flui dez, coherencia y cohesión; y la implementación de vocabulario sobre temas cotidianos, ocupacionales, tecnológicos, científicos y académicos. Lo anterior, teniendo en cuenta la intencionalidad del lenguaje y su contexto.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOs,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES INTERMEDIO - NIVEL 1 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES INTERMEDIO - NIVEL 2,Ingles intermedio - nivel 2,"El programa de Inglés Intermedio Nivel 2, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera basadas en: la argumentación de ideas con alto grado de independencia y fluidez; la síntesis de información procedente de diversas fuentes y medios de comunicación; la producción de discursos formales en inglés evidenciando fluidez, coherencia y cohesión; y la implementación de vocabulario sobre temas cotidianos, ocupacionales, tecnológicos, científicos y académicos. Lo anterior, teniendo en cuenta la intencionalidad del lenguaje y su contexto.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOS,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES INTERMEDIO - NIVEL 2 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES INTERMEDIO - NIVEL 3,Ingles intermedio - nivel 3,"El programa de Inglés Intermedio Nivel 3, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera basadas en: Argumentar opiniones respecto productos o servicios teniendo en cuenta los marcadores discursivos de la lengua inglesa propios del nivel; Resolver interrogantes en inglés con fluidez y espontaneidad, de acuerdo con contextos específicos; Usar expresiones, formas y funciones del lenguaje aplicados en juicios de valor con base en situaciones reales definidas y emplear vocabulario en inglés acerca de temas ocupacionales, tecnológicos, científicos y académicos teniendo en cuenta la intencionalidad del lenguaje y su contexto.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,"BPOs, Servicios financieros, Turismo, hoteles y gastronomía","INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES INTERMEDIO - NIVEL 3 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES INTERMEDIO - NIVEL 4,Ingles intermedio - nivel 4,"El programa de Inglés Intermedio Nivel 4, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera basadas en: la argumentación de ideas con alto grado de independencia y fluidez; la síntesis de información procedente de diversas fuentes y medios de comunicación; la producción de discursos formales en inglés evidenciando fluidez, coherencia y cohesión; y la implementación de vocabulario sobre temas cotidianos, ocupacionales, tecnológicos, científicos y académicos. Lo anterior, teniendo en cuenta la intencionalidad del lenguaje y su contexto.
",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOs,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES INTERMEDIO - NIVEL 4 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES PRE INTERMEDIO - NIVEL 1,Ingles pre intermedio - Nivel 1,"Es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera tales como la narración de eventos, la discusión de experiencias vividas, la identificación de estructuras gramaticales, el intercambio de opiniones, la propuesta de soluciones en el idioma a situaciones en los contextos personal, social y laboral.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOs,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES PRE INTERMEDIO - NIVEL 1 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES PRE INTERMEDIO - NIVEL 2,Ingles pre intermedio - Nivel 2,"El programa de Inglés Pre Intermedio Nivel 2, es una propuesta educativa que forma al aprendiz en torno al desarrollo de habilidades comunicativas específicas en lengua extranjera tales como narrar eventos en inglés a partir de experiencias de vida, anécdotas e historias, hablar sobre situaciones hipotéticas, describir sueños, deseos, esperanzas y ambiciones, realizar comparaciones en inglés de acuerdo con el ámbito personal, social y laboral.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOS,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES PRE INTERMEDIO - NIVEL 2 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES PRE INTERMEDIO - NIVEL 3,Ingles pre intermedio - Nivel 3,"Es una propuesta educativa que forma en torno al desarrollo de habilidades comunicativas en lengua extranjera basadas en el contexto laboral y social acorde al nivel dominio de lengua actual y le permite al aprendiz continuar su proceso formativo, a través de la identificación de ideas principales en textos del género periodístico, del  relato de eventos y sucesos, del intercambio de información en situaciones cotidianas y en escenarios de viajes y negocios y de la redacción de documentos en los cuales solicita información académica, laboral, social y comercial.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOS,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES PRE INTERMEDIO - NIVEL 3 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INGLES PRE INTERMEDIO - NIVEL 4,Ingles pre intermedio - Nivel 4,"Es una propuesta educativa que forma en torno al desarrollo de habilidades comunicativas en lengua extranjera en el contexto laboral y social acorde al nivel de dominio de lengua actual y le permite al aprendiz continuar su proceso formativo, a través del intercambio de información sobre situaciones académicas, laborales, de tiempo libre, viajes, negocios y la descripción de experiencias, acontecimientos, deseos y aspiraciones, a la vez que argumenta sus opiniones y planes. Además, de la producción de textos sobre temas de interés personal, laboral y académico enmarcado en la intencionalidad y uso de la lengua.",48.0,Certificado de aprobación,Fórmate Bilingüe,Bilingüismo,BPOs,"INTERNACIONAL, NEGOCIOS, COCINA, TURISMO","INGLES PRE INTERMEDIO - NIVEL 4 INTERNACIONAL, NEGOCIOS, COCINA, TURISMO"
SENA,INNOVACIÓN COMO ESTRATEGIA DE CAMBIO Y TRANSFORMACIÓN SOCIAL. ,Innovación como estrategia de cambio y transformación social.,"Este curso busca apoyar a los aprendices para que potencien sus talentos e intereses en función de la construcción de sus proyectos de vida, además los ayuda a empoderarse y desarrollar sus territorios para futuras generaciones. Da herramientas que los ayuden a encontrar oportunidades laborales y fortalecer su participación ciudadana.

",,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Industria (manufacturas), Construcción, Turismo hoteles y gastronomía, 
","DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS","INNOVACIÓN COMO ESTRATEGIA CAMBIO TRANSFORMACIÓN SOCIAL. DESARROLLO SOSTENIBLE, ECONOMÍAS LIMPIAS"
SENA,,Integración logística en cadenas de suministro,,,Certificado de aprobación,Fórmate,Otros,"Logística y Transporte, Industria (manufacturas)","SISTEMAS DE PRODUCCIÓN, LIDERAZGO, GERENCIA, ADMINISTRACIÓN","INTEGRACIÓN LOGÍSTICA CADENAS SUMINISTRO SISTEMAS PRODUCCIÓN, LIDERAZGO, GERENCIA, ADMINISTRACIÓN"
SENA,JARDINERÍA ,Jardinería,"Este curso de Jardinería permitirá realizar proyectos de jardines particulares o pequeñas obras públicas. Además, ofrece conocimientos básicos de las plantas ornamentales, su morfología y exigencias climáticas, historia de los jardines, entre otros. Además de diseñar espacios abiertos y zonas ajardinadas y elaborar presupuestos. Saber cómo conseguir la máxima utilidad de un jardín a través de la composición del mismo. Y  la distribución del mobiliario y el equipamiento. En definitiva, organizar, crear y combinar elementos dentro de una zona verde y conocer dónde buscar información para un proyecto.",40.0,Certificado de aprobación,Fórmate,Otros,"Construcción, Turismo hoteles y gastronomía",,
